Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,1185732,27/10/2020,Midwest,Minnesota,Minneapolis,Men's Apparel,45.00,150,"67,500.00","20,250.00",30%,In-store
Foot Locker,1185732,28/10/2020,Midwest,Minnesota,Minneapolis,Women's Apparel,35.00,225,"78,750.00","35,437.50",45%,In-store
Foot Locker,1185732,29/10/2020,Midwest,Minnesota,Minneapolis,Men's Street Footwear,40.00,445,"178,000.00","62,300.00",35%,In-store
Foot Locker,1185732,30/10/2020,Midwest,Minnesota,Minneapolis,Men's Athletic Footwear,40.00,125,"50,000.00","15,000.00",30%,In-store
Foot Locker,1185732,31/10/2020,Midwest,Minnesota,Minneapolis,Women's Street Footwear,30.00,175,"52,500.00","15,750.00",30%,In-store
Foot Locker,1185732,1/11/2020,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,35.00,25,"8,750.00","3,062.50",35%,In-store
Foot Locker,1185732,2/11/2020,Midwest,Minnesota,Minneapolis,Men's Apparel,50.00,75,"37,500.00","11,250.00",30%,In-store
Foot Locker,1185732,3/11/2020,Midwest,Minnesota,Minneapolis,Women's Apparel,40.00,175,"70,000.00","31,500.00",45%,In-store
Foot Locker,1185732,4/11/2020,Midwest,Minnesota,Minneapolis,Men's Street Footwear,40.00,400,"160,000.00","56,000.00",35%,In-store
Foot Locker,1185732,5/11/2020,Midwest,Minnesota,Minneapolis,Men's Athletic Footwear,40.00,100,"40,000.00","12,000.00",30%,In-store
Foot Locker,1185732,6/11/2020,Midwest,Minnesota,Minneapolis,Women's Street Footwear,30.00,100,"30,000.00","9,000.00",30%,In-store
Foot Locker,1185732,7/11/2020,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,35.00,25,"8,750.00","3,062.50",35%,In-store
Foot Locker,1185732,8/11/2020,Midwest,Minnesota,Minneapolis,Men's Apparel,50.00,50,"25,000.00","7,500.00",30%,In-store
Foot Locker,1185732,9/11/2020,Midwest,Minnesota,Minneapolis,Women's Apparel,40.00,175,"70,000.00","31,500.00",45%,In-store
Foot Locker,1185732,10/11/2020,Midwest,Minnesota,Minneapolis,Men's Street Footwear,50.00,445,"222,500.00","77,875.00",35%,In-store
Foot Locker,1185732,11/11/2020,Midwest,Minnesota,Minneapolis,Men's Athletic Footwear,45.00,150,"67,500.00","20,250.00",30%,In-store
Foot Locker,1185732,12/11/2020,Midwest,Minnesota,Minneapolis,Women's Street Footwear,40.00,125,"50,000.00","15,000.00",30%,In-store
Foot Locker,1185732,13/11/2020,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,40.00,50,"20,000.00","7,000.00",35%,In-store
Foot Locker,1185732,14/11/2020,Midwest,Minnesota,Minneapolis,Men's Apparel,55.00,75,"41,250.00","12,375.00",30%,In-store
Foot Locker,1185732,15/11/2020,Midwest,Minnesota,Minneapolis,Women's Apparel,60.00,175,"105,000.00","47,250.00",45%,In-store
Foot Locker,1185732,16/11/2020,Midwest,Minnesota,Minneapolis,Men's Street Footwear,45.00,425,"191,250.00","66,937.50",35%,Outlet
Foot Locker,1185732,17/11/2020,Midwest,Minnesota,Minneapolis,Men's Athletic Footwear,40.00,175,"70,000.00","21,000.00",30%,Outlet
Foot Locker,1185732,18/11/2020,Midwest,Minnesota,Minneapolis,Women's Street Footwear,35.00,175,"61,250.00","18,375.00",30%,Outlet
Foot Locker,1185732,19/11/2020,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,35.00,150,"52,500.00","18,375.00",35%,Outlet
Foot Locker,1185732,20/11/2020,Midwest,Minnesota,Minneapolis,Men's Apparel,50.00,150,"75,000.00","22,500.00",30%,Outlet
Foot Locker,1185732,21/11/2020,Midwest,Minnesota,Minneapolis,Women's Apparel,55.00,325,"178,750.00","80,437.50",45%,Outlet
Foot Locker,1185732,22/11/2020,Midwest,Minnesota,Minneapolis,Men's Street Footwear,50.00,550,"275,000.00","96,250.00",35%,Outlet
Foot Locker,1185732,23/11/2020,Midwest,Minnesota,Minneapolis,Men's Athletic Footwear,45.00,300,"135,000.00","40,500.00",30%,Outlet
Foot Locker,1185732,24/11/2020,Midwest,Minnesota,Minneapolis,Women's Street Footwear,40.00,225,"90,000.00","27,000.00",30%,Outlet
Foot Locker,1185732,25/11/2020,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,40.00,175,"70,000.00","24,500.00",35%,Outlet
Foot Locker,1185732,26/11/2020,Midwest,Minnesota,Minneapolis,Men's Apparel,50.00,200,"100,000.00","30,000.00",30%,Outlet
Foot Locker,1185732,27/11/2020,Midwest,Minnesota,Minneapolis,Women's Apparel,55.00,375,"206,250.00","92,812.50",45%,Outlet
Foot Locker,1185732,28/11/2020,Midwest,Minnesota,Minneapolis,Men's Street Footwear,50.00,525,"262,500.00","91,875.00",35%,Outlet
Foot Locker,1185732,29/11/2020,Midwest,Minnesota,Minneapolis,Men's Athletic Footwear,45.00,300,"135,000.00","40,500.00",30%,Outlet
Foot Locker,1185732,30/11/2020,Midwest,Minnesota,Minneapolis,Women's Street Footwear,40.00,225,"90,000.00","27,000.00",30%,Outlet
Foot Locker,1185732,1/12/2020,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,35.00,175,"61,250.00","21,437.50",35%,Outlet
Foot Locker,1185732,2/12/2020,Midwest,Minnesota,Minneapolis,Men's Apparel,45.00,150,"67,500.00","20,250.00",30%,Outlet
Foot Locker,1185732,3/12/2020,Midwest,Minnesota,Minneapolis,Women's Apparel,50.00,325,"162,500.00","73,125.00",45%,Outlet
Foot Locker,1185732,4/12/2020,Midwest,Minnesota,Minneapolis,Men's Street Footwear,45.00,450,"202,500.00","70,875.00",35%,Outlet
Foot Locker,1185732,5/12/2020,Midwest,Minnesota,Minneapolis,Men's Athletic Footwear,40.00,250,"100,000.00","30,000.00",30%,Outlet
Foot Locker,1185732,6/12/2020,Midwest,Minnesota,Minneapolis,Women's Street Footwear,25.00,150,"37,500.00","11,250.00",30%,Outlet
Foot Locker,1185732,7/12/2020,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,25.00,125,"31,250.00","10,937.50",35%,Outlet
Foot Locker,1185732,8/12/2020,Midwest,Minnesota,Minneapolis,Men's Apparel,35.00,125,"43,750.00","13,125.00",30%,Outlet
Foot Locker,1185732,9/12/2020,Midwest,Minnesota,Minneapolis,Women's Apparel,40.00,200,"80,000.00","36,000.00",45%,Outlet
Foot Locker,1185732,10/12/2020,Midwest,Minnesota,Minneapolis,Men's Street Footwear,45.00,375,"168,750.00","59,062.50",35%,Outlet
Foot Locker,1185732,11/12/2020,Midwest,Minnesota,Minneapolis,Men's Athletic Footwear,35.00,200,"70,000.00","21,000.00",30%,Outlet
Foot Locker,1185732,12/12/2020,Midwest,Minnesota,Minneapolis,Women's Street Footwear,35.00,100,"35,000.00","10,500.00",30%,Outlet
Foot Locker,1185732,13/12/2020,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,35.00,75,"26,250.00","9,187.50",35%,Outlet
Foot Locker,1185732,14/12/2020,Midwest,Minnesota,Minneapolis,Men's Apparel,45.00,75,"33,750.00","10,125.00",30%,Outlet
Foot Locker,1185732,15/12/2020,Midwest,Minnesota,Minneapolis,Women's Apparel,50.00,200,"100,000.00","45,000.00",45%,Outlet
Foot Locker,1185732,16/12/2020,Midwest,Minnesota,Minneapolis,Men's Street Footwear,50.00,350,"175,000.00","61,250.00",35%,Outlet
Foot Locker,1185732,17/12/2020,Midwest,Minnesota,Minneapolis,Men's Athletic Footwear,40.00,200,"80,000.00","24,000.00",30%,Outlet
Foot Locker,1185732,18/12/2020,Midwest,Minnesota,Minneapolis,Women's Street Footwear,40.00,145,"58,000.00","17,400.00",30%,Outlet
Foot Locker,1185732,19/12/2020,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,40.00,150,"60,000.00","21,000.00",35%,Outlet
Foot Locker,1185732,20/12/2020,Midwest,Minnesota,Minneapolis,Men's Apparel,55.00,125,"68,750.00","20,625.00",30%,Outlet
Foot Locker,1185732,21/12/2020,Midwest,Minnesota,Minneapolis,Women's Apparel,60.00,225,"135,000.00","60,750.00",45%,Outlet
Foot Locker,1185732,22/12/2020,Midwest,Minnesota,Minneapolis,Men's Street Footwear,55.00,475,"261,250.00","91,437.50",35%,Outlet
Foot Locker,1185732,23/12/2020,Midwest,Minnesota,Minneapolis,Men's Athletic Footwear,45.00,275,"123,750.00","37,125.00",30%,Outlet
Foot Locker,1185732,24/12/2020,Midwest,Minnesota,Minneapolis,Women's Street Footwear,45.00,225,"101,250.00","30,375.00",30%,Outlet
Foot Locker,1185732,25/12/2020,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,45.00,175,"78,750.00","27,562.50",35%,Outlet
Foot Locker,1185732,26/12/2020,Midwest,Minnesota,Minneapolis,Men's Apparel,55.00,175,"96,250.00","28,875.00",30%,Outlet
Foot Locker,1185732,27/12/2020,Midwest,Minnesota,Minneapolis,Women's Apparel,60.00,275,"165,000.00","74,250.00",45%,Outlet
Kohl's,1189833,28/12/2020,Midwest,Minnesota,Minneapolis,Men's Street Footwear,35.00,475,"166,250.00","74,812.50",45%,Outlet
Kohl's,1189833,29/12/2020,Midwest,Minnesota,Minneapolis,Men's Athletic Footwear,45.00,475,"213,750.00","64,125.00",30%,Outlet
Kohl's,1189833,30/12/2020,Midwest,Minnesota,Minneapolis,Women's Street Footwear,45.00,475,"213,750.00","96,187.50",45%,Outlet
Kohl's,1189833,31/12/2020,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,45.00,325,"146,250.00","58,500.00",40%,Outlet
Kohl's,1189833,1/1/2021,Midwest,Montana,Billings,Men's Apparel,50.00,275,"137,500.00","82,500.00",60%,Outlet
Kohl's,1189833,2/1/2021,Midwest,Montana,Billings,Women's Apparel,45.00,475,"213,750.00","53,437.50",25%,Outlet
Kohl's,1189833,3/1/2021,Midwest,Montana,Billings,Men's Street Footwear,35.00,525,"183,750.00","82,687.50",45%,Outlet
Kohl's,1189833,4/1/2021,Midwest,Montana,Billings,Men's Athletic Footwear,45.00,425,"191,250.00","57,375.00",30%,Outlet
Kohl's,1189833,5/1/2021,Midwest,Montana,Billings,Women's Street Footwear,45.00,450,"202,500.00","91,125.00",45%,Outlet
Kohl's,1189833,6/1/2021,Midwest,Montana,Billings,Women's Athletic Footwear,45.00,300,"135,000.00","54,000.00",40%,Outlet
Kohl's,1189833,7/1/2021,Midwest,Montana,Billings,Men's Apparel,50.00,225,"112,500.00","67,500.00",60%,Outlet
Kohl's,1189833,8/1/2021,Midwest,Montana,Billings,Women's Apparel,45.00,425,"191,250.00","47,812.50",25%,Outlet
Kohl's,1189833,9/1/2021,Midwest,Montana,Billings,Men's Street Footwear,35.00,575,"201,250.00","90,562.50",45%,Outlet
Kohl's,1189833,10/1/2021,Midwest,Montana,Billings,Men's Athletic Footwear,45.00,425,"191,250.00","57,375.00",30%,Outlet
Kohl's,1189833,11/1/2021,Midwest,Montana,Billings,Women's Street Footwear,45.00,425,"191,250.00","86,062.50",45%,Outlet
Kohl's,1189833,12/1/2021,Midwest,Montana,Billings,Women's Athletic Footwear,45.00,325,"146,250.00","58,500.00",40%,Outlet
Kohl's,1189833,13/1/2021,Midwest,Montana,Billings,Men's Apparel,50.00,200,"100,000.00","60,000.00",60%,Outlet
Kohl's,1189833,14/1/2021,Midwest,Montana,Billings,Women's Apparel,45.00,400,"180,000.00","45,000.00",25%,Outlet
Kohl's,1189833,15/1/2021,Midwest,Montana,Billings,Men's Street Footwear,45.00,575,"258,750.00","116,437.50",45%,Outlet
Kohl's,1189833,16/1/2021,Midwest,Montana,Billings,Men's Athletic Footwear,45.00,375,"168,750.00","50,625.00",30%,Outlet
Kohl's,1189833,17/1/2021,Midwest,Montana,Billings,Women's Street Footwear,45.00,400,"180,000.00","81,000.00",45%,Outlet
Kohl's,1189833,18/1/2021,Midwest,Montana,Billings,Women's Athletic Footwear,40.00,300,"120,000.00","48,000.00",40%,Outlet
Kohl's,1189833,19/1/2021,Midwest,Montana,Billings,Men's Apparel,45.00,200,"90,000.00","54,000.00",60%,Outlet
Kohl's,1189833,20/1/2021,Midwest,Montana,Billings,Women's Apparel,60.00,375,"225,000.00","56,250.00",25%,Outlet
Kohl's,1189833,21/1/2021,Midwest,Montana,Billings,Men's Street Footwear,40.00,575,"230,000.00","103,500.00",45%,Outlet
Kohl's,1189833,22/1/2021,Midwest,Montana,Billings,Men's Athletic Footwear,45.00,425,"191,250.00","57,375.00",30%,Outlet
Kohl's,1189833,23/1/2021,Midwest,Montana,Billings,Women's Street Footwear,45.00,425,"191,250.00","86,062.50",45%,Outlet
Kohl's,1189833,24/1/2021,Midwest,Montana,Billings,Women's Athletic Footwear,40.00,325,"130,000.00","52,000.00",40%,Outlet
Kohl's,1189833,25/1/2021,Midwest,Montana,Billings,Men's Apparel,45.00,225,"101,250.00","60,750.00",60%,Outlet
Kohl's,1189833,26/1/2021,Midwest,Montana,Billings,Women's Apparel,60.00,400,"240,000.00","60,000.00",25%,Outlet
Kohl's,1189833,27/1/2021,Midwest,Montana,Billings,Men's Street Footwear,40.00,675,"270,000.00","121,500.00",45%,Outlet
Kohl's,1189833,28/1/2021,Midwest,Montana,Billings,Men's Athletic Footwear,45.00,525,"236,250.00","70,875.00",30%,Outlet
Kohl's,1189833,29/1/2021,Midwest,Montana,Billings,Women's Street Footwear,45.00,550,"247,500.00","111,375.00",45%,Outlet
Kohl's,1189833,30/1/2021,Midwest,Montana,Billings,Women's Athletic Footwear,40.00,425,"170,000.00","68,000.00",40%,Outlet
Kohl's,1189833,31/1/2021,Midwest,Montana,Billings,Men's Apparel,45.00,300,"135,000.00","81,000.00",60%,Outlet
Kohl's,1189833,1/2/2021,Midwest,Montana,Billings,Women's Apparel,60.00,600,"360,000.00","90,000.00",25%,Outlet
Kohl's,1189833,2/2/2021,Midwest,Montana,Billings,Men's Street Footwear,40.00,750,"300,000.00","135,000.00",45%,Outlet
Kohl's,1189833,3/2/2021,Midwest,Montana,Billings,Men's Athletic Footwear,45.00,600,"270,000.00","81,000.00",30%,Outlet
Kohl's,1189833,4/2/2021,Midwest,Montana,Billings,Women's Street Footwear,45.00,550,"247,500.00","111,375.00",45%,Outlet
Kohl's,1189833,5/2/2021,Midwest,Montana,Billings,Women's Athletic Footwear,40.00,450,"180,000.00","72,000.00",40%,Outlet
Kohl's,1189833,6/2/2021,Midwest,Montana,Billings,Men's Apparel,45.00,475,"213,750.00","128,250.00",60%,Outlet
Kohl's,1189833,7/2/2021,Midwest,Montana,Billings,Women's Apparel,60.00,475,"285,000.00","71,250.00",25%,Outlet
Kohl's,1189833,8/2/2021,Midwest,Montana,Billings,Men's Street Footwear,45.00,675,"303,750.00","136,687.50",45%,Outlet
Kohl's,1189833,9/2/2021,Midwest,Montana,Billings,Men's Athletic Footwear,55.00,625,"343,750.00","103,125.00",30%,Outlet
Kohl's,1189833,10/2/2021,Midwest,Montana,Billings,Women's Street Footwear,50.00,500,"250,000.00","112,500.00",45%,Outlet
Kohl's,1189833,11/2/2021,Midwest,Montana,Billings,Women's Athletic Footwear,45.00,425,"191,250.00","76,500.00",40%,Outlet
Kohl's,1189833,12/2/2021,Midwest,Montana,Billings,Men's Apparel,55.00,425,"233,750.00","140,250.00",60%,Outlet
Kohl's,1189833,13/2/2021,Midwest,Montana,Billings,Women's Apparel,60.00,400,"240,000.00","60,000.00",25%,Outlet
Kohl's,1189833,14/2/2021,Midwest,Montana,Billings,Men's Street Footwear,45.00,600,"270,000.00","121,500.00",45%,Outlet
Kohl's,1189833,15/2/2021,Midwest,Montana,Billings,Men's Athletic Footwear,50.00,600,"300,000.00","90,000.00",30%,Outlet
Kohl's,1189833,16/2/2021,Midwest,Montana,Billings,Women's Street Footwear,45.00,450,"202,500.00","91,125.00",45%,Outlet
Kohl's,1189833,17/2/2021,Midwest,Montana,Billings,Women's Athletic Footwear,45.00,400,"180,000.00","72,000.00",40%,Outlet
Kohl's,1189833,18/2/2021,Midwest,Montana,Billings,Men's Apparel,55.00,400,"220,000.00","132,000.00",60%,Outlet
Kohl's,1189833,19/2/2021,Midwest,Montana,Billings,Women's Apparel,60.00,450,"270,000.00","67,500.00",25%,Outlet
Kohl's,1189833,20/2/2021,Midwest,Montana,Billings,Men's Street Footwear,45.00,550,"247,500.00","111,375.00",45%,Outlet
Kohl's,1189833,21/2/2021,Midwest,Montana,Billings,Men's Athletic Footwear,50.00,550,"275,000.00","82,500.00",30%,Outlet
Kohl's,1189833,22/2/2021,Midwest,Montana,Billings,Women's Street Footwear,45.00,400,"180,000.00","81,000.00",45%,Outlet
Kohl's,1189833,23/2/2021,Midwest,Montana,Billings,Women's Athletic Footwear,45.00,375,"168,750.00","67,500.00",40%,Outlet
Kohl's,1189833,24/2/2021,Midwest,Montana,Billings,Men's Apparel,55.00,350,"192,500.00","115,500.00",60%,Outlet
Kohl's,1189833,25/2/2021,Midwest,Montana,Billings,Women's Apparel,60.00,400,"240,000.00","60,000.00",25%,Outlet
Kohl's,1189833,26/2/2021,Midwest,Montana,Billings,Men's Street Footwear,40.00,575,"230,000.00","103,500.00",45%,Outlet
Kohl's,1189833,27/2/2021,Midwest,Montana,Billings,Men's Athletic Footwear,45.00,575,"258,750.00","77,625.00",30%,Outlet
Kohl's,1189833,28/2/2021,Midwest,Montana,Billings,Women's Street Footwear,40.00,425,"170,000.00","76,500.00",45%,Outlet
Kohl's,1189833,1/3/2021,Midwest,Montana,Billings,Women's Athletic Footwear,40.00,425,"170,000.00","68,000.00",40%,Outlet
Kohl's,1189833,2/3/2021,Midwest,Montana,Billings,Men's Apparel,55.00,375,"206,250.00","123,750.00",60%,Outlet
Kohl's,1189833,3/3/2021,Midwest,Montana,Billings,Women's Apparel,60.00,475,"285,000.00","71,250.00",25%,Outlet
Kohl's,1189833,4/3/2021,Midwest,Montana,Billings,Men's Street Footwear,45.00,675,"303,750.00","136,687.50",45%,Outlet
Kohl's,1189833,5/3/2021,Midwest,Montana,Billings,Men's Athletic Footwear,50.00,675,"337,500.00","101,250.00",30%,Outlet
Kohl's,1189833,6/3/2021,Midwest,Montana,Billings,Women's Street Footwear,45.00,475,"213,750.00","96,187.50",45%,Outlet
Kohl's,1189833,7/3/2021,Midwest,Montana,Billings,Women's Athletic Footwear,45.00,475,"213,750.00","85,500.00",40%,Outlet
Kohl's,1189833,8/3/2021,Midwest,Montana,Billings,Men's Apparel,55.00,400,"220,000.00","132,000.00",60%,Outlet
Kohl's,1189833,9/3/2021,Midwest,Montana,Billings,Women's Apparel,60.00,500,"300,000.00","75,000.00",25%,Outlet
Sports Direct,1197831,10/3/2021,Midwest,Montana,Billings,Men's Street Footwear,20.00,700,"140,000.00","49,000.00",35%,Outlet
Sports Direct,1197831,11/3/2021,Midwest,Montana,Billings,Men's Athletic Footwear,30.00,700,"210,000.00","73,500.00",35%,Outlet
Sports Direct,1197831,12/3/2021,Midwest,Montana,Billings,Women's Street Footwear,30.00,500,"150,000.00","52,500.00",35%,Outlet
Sports Direct,1197831,13/3/2021,Midwest,Montana,Billings,Women's Athletic Footwear,35.00,500,"175,000.00","78,750.00",45%,Outlet
Sports Direct,1197831,14/3/2021,South,Tennessee,Knoxville,Men's Apparel,40.00,350,"140,000.00","42,000.00",30%,Outlet
Sports Direct,1197831,15/3/2021,South,Tennessee,Knoxville,Women's Apparel,35.00,500,"175,000.00","87,500.00",50%,Outlet
Sports Direct,1197831,16/3/2021,South,Tennessee,Knoxville,Men's Street Footwear,25.00,650,"162,500.00","56,875.00",35%,Outlet
Sports Direct,1197831,17/3/2021,South,Tennessee,Knoxville,Men's Athletic Footwear,35.00,625,"218,750.00","76,562.50",35%,Outlet
Sports Direct,1197831,18/3/2021,South,Tennessee,Knoxville,Women's Street Footwear,35.00,450,"157,500.00","55,125.00",35%,Outlet
Sports Direct,1197831,19/3/2021,South,Tennessee,Knoxville,Women's Athletic Footwear,35.00,400,"140,000.00","63,000.00",45%,Outlet
Sports Direct,1197831,20/3/2021,South,Tennessee,Knoxville,Men's Apparel,40.00,275,"110,000.00","33,000.00",30%,Outlet
Sports Direct,1197831,21/3/2021,South,Tennessee,Knoxville,Women's Apparel,35.00,475,"166,250.00","83,125.00",50%,Outlet
Sports Direct,1197831,22/3/2021,South,Tennessee,Knoxville,Men's Street Footwear,30.00,650,"195,000.00","78,000.00",40%,Outlet
Sports Direct,1197831,23/3/2021,South,Tennessee,Knoxville,Men's Athletic Footwear,40.00,650,"260,000.00","104,000.00",40%,Outlet
Sports Direct,1197831,24/3/2021,South,Tennessee,Knoxville,Women's Street Footwear,30.00,475,"142,500.00","57,000.00",40%,Outlet
Sports Direct,1197831,25/3/2021,South,Tennessee,Knoxville,Women's Athletic Footwear,35.00,375,"131,250.00","65,625.00",50%,Outlet
Sports Direct,1197831,26/3/2021,South,Tennessee,Knoxville,Men's Apparel,40.00,275,"110,000.00","38,500.00",35%,Outlet
Sports Direct,1197831,27/3/2021,South,Tennessee,Knoxville,Women's Apparel,35.00,425,"148,750.00","81,812.50",55%,Outlet
Sports Direct,1197831,28/3/2021,South,Tennessee,Knoxville,Men's Street Footwear,20.00,675,"135,000.00","54,000.00",40%,Outlet
Sports Direct,1197831,29/3/2021,South,Tennessee,Knoxville,Men's Athletic Footwear,25.00,675,"168,750.00","67,500.00",40%,Outlet
Sports Direct,1197831,30/3/2021,South,Tennessee,Knoxville,Women's Street Footwear,20.00,500,"100,000.00","40,000.00",40%,Outlet
Sports Direct,1197831,31/3/2021,South,Tennessee,Knoxville,Women's Athletic Footwear,25.00,400,"100,000.00","50,000.00",50%,Outlet
Sports Direct,1197831,1/4/2021,South,Tennessee,Knoxville,Men's Apparel,30.00,300,"90,000.00","31,500.00",35%,Outlet
Sports Direct,1197831,2/4/2021,South,Tennessee,Knoxville,Women's Apparel,25.00,575,"143,750.00","79,062.50",55%,Outlet
Sports Direct,1197831,3/4/2021,South,Tennessee,Knoxville,Men's Street Footwear,15.00,725,"108,750.00","43,500.00",40%,Outlet
Sports Direct,1197831,4/4/2021,South,Tennessee,Knoxville,Men's Athletic Footwear,25.00,750,"187,500.00","75,000.00",40%,Outlet
Sports Direct,1197831,5/4/2021,South,Tennessee,Knoxville,Women's Street Footwear,20.00,600,"120,000.00","48,000.00",40%,Outlet
Sports Direct,1197831,6/4/2021,South,Tennessee,Knoxville,Women's Athletic Footwear,30.00,525,"157,500.00","78,750.00",50%,Outlet
Sports Direct,1197831,7/4/2021,South,Tennessee,Knoxville,Men's Apparel,45.00,425,"191,250.00","66,937.50",35%,Outlet
Sports Direct,1197831,8/4/2021,South,Tennessee,Knoxville,Women's Apparel,40.00,775,"310,000.00","170,500.00",55%,Outlet
Sports Direct,1197831,9/4/2021,South,Tennessee,Knoxville,Men's Street Footwear,40.00,775,"310,000.00","124,000.00",40%,Outlet
Sports Direct,1197831,10/4/2021,South,Tennessee,Knoxville,Men's Athletic Footwear,45.00,775,"348,750.00","139,500.00",40%,Outlet
Sports Direct,1197831,11/4/2021,South,Tennessee,Knoxville,Women's Street Footwear,40.00,650,"260,000.00","104,000.00",40%,Outlet
Sports Direct,1197831,12/4/2021,South,Tennessee,Knoxville,Women's Athletic Footwear,40.00,600,"240,000.00","120,000.00",50%,Outlet
Sports Direct,1197831,13/4/2021,South,Tennessee,Knoxville,Men's Apparel,45.00,500,"225,000.00","78,750.00",35%,Outlet
Sports Direct,1197831,14/4/2021,South,Tennessee,Knoxville,Women's Apparel,50.00,875,"437,500.00","240,625.00",55%,Outlet
Sports Direct,1197831,15/4/2021,South,Tennessee,Knoxville,Men's Street Footwear,40.00,825,"330,000.00","148,500.00",45%,Outlet
Sports Direct,1197831,16/4/2021,South,Tennessee,Knoxville,Men's Athletic Footwear,45.00,825,"371,250.00","167,062.50",45%,Outlet
Sports Direct,1197831,17/4/2021,South,Tennessee,Knoxville,Women's Street Footwear,40.00,975,"390,000.00","175,500.00",45%,Outlet
Sports Direct,1197831,18/4/2021,South,Tennessee,Knoxville,Women's Athletic Footwear,40.00,575,"230,000.00","126,500.00",55%,Outlet
Sports Direct,1197831,19/4/2021,South,Tennessee,Knoxville,Men's Apparel,45.00,550,"247,500.00","99,000.00",40%,Outlet
Sports Direct,1197831,20/4/2021,South,Tennessee,Knoxville,Women's Apparel,55.00,825,"453,750.00","272,250.00",60%,Outlet
Sports Direct,1197831,21/4/2021,South,Tennessee,Knoxville,Men's Street Footwear,45.00,775,"348,750.00","156,937.50",45%,Outlet
Sports Direct,1197831,22/4/2021,South,Tennessee,Knoxville,Men's Athletic Footwear,55.00,775,"426,250.00","191,812.50",45%,Outlet
Sports Direct,1197831,23/4/2021,South,Tennessee,Knoxville,Women's Street Footwear,50.00,950,"475,000.00","213,750.00",45%,Outlet
Sports Direct,1197831,24/4/2021,South,Tennessee,Knoxville,Women's Athletic Footwear,45.00,475,"213,750.00","117,562.50",55%,Outlet
Sports Direct,1197831,25/4/2021,South,Tennessee,Knoxville,Men's Apparel,50.00,475,"237,500.00","95,000.00",40%,Outlet
Sports Direct,1197831,26/4/2021,South,Tennessee,Knoxville,Women's Apparel,55.00,725,"398,750.00","239,250.00",60%,Outlet
Sports Direct,1197831,27/4/2021,South,Tennessee,Knoxville,Men's Street Footwear,50.00,675,"337,500.00","151,875.00",45%,Outlet
Sports Direct,1197831,28/4/2021,South,Tennessee,Knoxville,Men's Athletic Footwear,50.00,625,"312,500.00","140,625.00",45%,Outlet
Sports Direct,1197831,29/4/2021,South,Tennessee,Knoxville,Women's Street Footwear,55.00,675,"371,250.00","167,062.50",45%,Outlet
Sports Direct,1197831,30/4/2021,South,Tennessee,Knoxville,Women's Athletic Footwear,55.00,400,"220,000.00","121,000.00",55%,Outlet
Sports Direct,1197831,1/5/2021,South,Tennessee,Knoxville,Men's Apparel,50.00,400,"200,000.00","80,000.00",40%,Outlet
Sports Direct,1197831,2/5/2021,South,Tennessee,Knoxville,Women's Apparel,45.00,625,"281,250.00","168,750.00",60%,Outlet
Sports Direct,1197831,3/5/2021,South,Tennessee,Knoxville,Men's Street Footwear,35.00,575,"201,250.00","90,562.50",45%,Outlet
Sports Direct,1197831,4/5/2021,South,Tennessee,Knoxville,Men's Athletic Footwear,35.00,575,"201,250.00","90,562.50",45%,Outlet
Sports Direct,1197831,5/5/2021,South,Tennessee,Knoxville,Women's Street Footwear,40.00,525,"210,000.00","94,500.00",45%,Outlet
Sports Direct,1197831,6/5/2021,South,Tennessee,Knoxville,Women's Athletic Footwear,40.00,375,"150,000.00","82,500.00",55%,Outlet
Sports Direct,1197831,7/5/2021,South,Tennessee,Knoxville,Men's Apparel,35.00,350,"122,500.00","49,000.00",40%,Outlet
Sports Direct,1197831,8/5/2021,South,Tennessee,Knoxville,Women's Apparel,45.00,525,"236,250.00","141,750.00",60%,Outlet
Sports Direct,1197831,9/5/2021,South,Tennessee,Knoxville,Men's Street Footwear,30.00,675,"202,500.00","91,125.00",45%,Outlet
Sports Direct,1197831,10/5/2021,South,Tennessee,Knoxville,Men's Athletic Footwear,30.00,675,"202,500.00","91,125.00",45%,Outlet
Sports Direct,1197831,11/5/2021,South,Tennessee,Knoxville,Women's Street Footwear,55.00,600,"330,000.00","148,500.00",45%,Outlet
Sports Direct,1197831,12/5/2021,South,Tennessee,Knoxville,Women's Athletic Footwear,55.00,475,"261,250.00","143,687.50",55%,Outlet
Sports Direct,1197831,13/5/2021,South,Tennessee,Knoxville,Men's Apparel,55.00,450,"247,500.00","99,000.00",40%,Outlet
Sports Direct,1197831,14/5/2021,South,Tennessee,Knoxville,Women's Apparel,65.00,650,"422,500.00","253,500.00",60%,Outlet
